rho R(km) M(SM) 
1673207.882384 9051.633730 0.400621 
1674881.090266 9050.166620 0.400777 
1676555.971356 9048.698531 0.400933 
1678232.527328 9047.229472 0.401089 
1679910.759855 9045.759450 0.401244 
1681590.670615 9044.288474 0.401399 
1683272.261285 9042.816551 0.401554 
1684955.533547 9041.343688 0.401708 
1686640.489080 9039.869893 0.401863 
1688327.129569 9038.395174 0.402017 
1690015.456699 9036.919539 0.402170 
1691705.472156 9035.442995 0.402324 
1693397.177628 9033.965549 0.402477 
1695090.574805 9032.487209 0.402629 
1696785.665380 9031.007982 0.402782 
1698482.451045 9029.527876 0.402934 
1700180.933497 9028.046897 0.403086 
1701881.114430 9026.565054 0.403238 
1703582.995544 9025.082354 0.403389 
1705286.578540 9023.598803 0.403540 
1706991.865119 9022.119811 0.403692 
1708698.856984 9020.676971 0.403850 
1710407.555841 9019.238070 0.404009 
1712117.963396 9017.798116 0.404167 
1713830.081360 9016.357117 0.404325 
1715543.911441 9014.915080 0.404483 
1717259.455353 9013.472015 0.404640 
1718976.714808 9012.027928 0.404798 
1720695.691523 9010.582829 0.404955 
1722416.387214 9009.136724 0.405111 
1724138.803602 9007.689623 0.405268 
1725862.942405 9006.241531 0.405424 
1727588.805348 9004.792459 0.405579 
1729316.394153 9003.342412 0.405735 
1731045.710547 9001.891400 0.405890 
1732776.756258 9000.439429 0.406045 
1734509.533014 8998.986507 0.406200 
1736244.042547 8997.532643 0.406354 
1737980.286589 8996.077843 0.406508 
1739718.266876 8994.622115 0.406662 
1741457.985143 8993.165466 0.406816 
1743199.443128 8991.707905 0.406969 
1744942.642571 8990.252170 0.407122 
1746687.585214 8988.816385 0.407276 
1748434.272799 8987.379678 0.407429 
1750182.707072 8985.942058 0.407581 
1751932.889779 8984.503531 0.407734 
1753684.822669 8983.064105 0.407886 
1755438.507491 8981.623787 0.408037 
1757193.945999 8980.183029 0.408189 
1758951.139945 8978.745693 0.408340 
1760710.091085 8977.307469 0.408491 
1762470.801176 8975.868367 0.408642 
1764233.271977 8974.428391 0.408793 
1765997.505249 8972.987550 0.408943 
